nohup: ignoring input
Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards:  50%|█████     | 1/2 [00:05<00:05,  5.20s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.22s/it]Loading checkpoint shards: 100%|██████████| 2/2 [00:07<00:00,  3.52s/it]
Found cached dataset csv (/data/jc/hf/mrm8488___csv/mrm8488--fake-news-d4fd5c02f3284619/0.0.0/6954658bab30a358235fa864b05cf819af0e179325c740e4bc853bcc7ec513e1)
/home/jkl6486/miniconda3/envs/sbit/lib/python3.11/site-packages/transformers/optimization.py:457: FutureWarning: This implementation of AdamW is deprecated and will be removed in a future version. Use the PyTorch implementation torch.optim.AdamW instead, or set `no_deprecation_warning=True` to disable this warning
Epoch 0, Loss: 1.1399331092834473
Epoch 0, Loss: 1.5926544666290283
Epoch 0, Loss: 1.1056935787200928
Epoch 0, Loss: 1.6283507347106934
Epoch 0, Loss: 1.8344162702560425
Epoch 0, Loss: 1.9857656955718994
Epoch 0, Loss: 1.780599594116211
Epoch 0, Loss: 1.9922691583633423
Epoch 0, Loss: 1.692068338394165
Epoch 0, Loss: 1.5495593547821045
Epoch 0, Loss: 1.8532180786132812
Epoch 0, Loss: 2.015282154083252
Epoch 0, Loss: 1.7713407278060913
Epoch 0, Loss: 1.6119084358215332
Epoch 0, Loss: 1.675201177597046
Epoch 0, Loss: 1.1875839233398438
Epoch 0, Loss: 1.6365193128585815
Epoch 0, Loss: 1.3933515548706055
Epoch 0, Loss: 1.8089789152145386
Epoch 0, Loss: 1.4653582572937012
Epoch 0, Loss: 1.7273223400115967
Epoch 0, Loss: 1.7262547016143799
Epoch 0, Loss: 1.5250053405761719
Epoch 0, Loss: 1.8948115110397339
Epoch 0, Loss: 1.7037709951400757
Epoch 0, Loss: 1.516615390777588
Epoch 0, Loss: 1.7701383829116821
Epoch 0, Loss: 1.8348603248596191
Epoch 0, Loss: 1.8118911981582642
Epoch 0, Loss: 1.6888197660446167
Epoch 0, Loss: 1.5385266542434692
Epoch 0, Loss: 1.7448066473007202
Epoch 0, Loss: 1.759093999862671
Epoch 0, Loss: 1.8102707862854004
Epoch 0, Loss: 1.2924193143844604
Epoch 0, Loss: 1.8771073818206787
Epoch 0, Loss: 1.6025853157043457
Epoch 0, Loss: 1.3864823579788208
Epoch 0, Loss: 1.3701472282409668
Epoch 0, Loss: 1.7274378538131714
Epoch 0, Loss: 1.6498979330062866
Epoch 0, Loss: 1.435378909111023
Epoch 0, Loss: 1.6449037790298462
Epoch 0, Loss: 1.750165343284607
Epoch 0, Loss: 1.8766655921936035
Epoch 0, Loss: 1.5266797542572021
Epoch 0, Loss: 1.6291030645370483
Epoch 0, Loss: 1.5050045251846313
Epoch 0, Loss: 1.9892417192459106
Epoch 0, Loss: 1.5037952661514282
Epoch 0, Loss: 1.5029469728469849
Epoch 0, Loss: 1.5800715684890747
Epoch 0, Loss: 1.4467846155166626
Epoch 0, Loss: 1.791002631187439
Epoch 0, Loss: 1.937044382095337
Epoch 0, Loss: 1.429967999458313
Epoch 0, Loss: 1.5298629999160767
Epoch 0, Loss: 1.3815468549728394
Epoch 0, Loss: 1.8460304737091064
Epoch 0, Loss: 1.689404010772705
Epoch 0, Loss: 1.166514277458191
Epoch 0, Loss: 1.8148744106292725
Epoch 0, Loss: 1.7756341695785522
Epoch 0, Loss: 1.8248463869094849
Epoch 0, Loss: 1.6518765687942505
Epoch 0, Loss: 1.4569488763809204
Epoch 0, Loss: 2.03619647026062
Epoch 0, Loss: 2.0699918270111084
Epoch 0, Loss: 1.669240117073059
Epoch 0, Loss: 1.8074020147323608
Epoch 0, Loss: 1.5484362840652466
Epoch 0, Loss: 1.6959919929504395
Epoch 0, Loss: 1.9038196802139282
Epoch 0, Loss: 1.312544822692871
Epoch 0, Loss: 1.7958770990371704
Epoch 0, Loss: 2.029001474380493
Epoch 0, Loss: 1.9805338382720947
Epoch 0, Loss: 1.219032645225525
Epoch 0, Loss: 1.3842787742614746
Epoch 0, Loss: 1.9194438457489014
Epoch 0, Loss: 1.7126632928848267
Epoch 0, Loss: 2.2350075244903564
Epoch 0, Loss: 1.884137749671936
Epoch 0, Loss: 1.2588609457015991
Epoch 0, Loss: 1.795824408531189
Epoch 0, Loss: 1.5460189580917358
Epoch 0, Loss: 1.3763017654418945
Epoch 0, Loss: 1.042429804801941
Epoch 0, Loss: 1.6389572620391846
Epoch 0, Loss: 1.6868152618408203
Epoch 0, Loss: 1.862666368484497
Epoch 0, Loss: 1.3774456977844238
Epoch 0, Loss: 1.2833486795425415
Epoch 0, Loss: 1.3799282312393188
Epoch 0, Loss: 1.3994367122650146
Epoch 0, Loss: 1.7373162508010864
Epoch 0, Loss: 1.6372965574264526
Epoch 0, Loss: 1.570859432220459
Epoch 0, Loss: 1.6361371278762817
Epoch 0, Loss: 1.8357107639312744
Epoch 0, Loss: 2.1275405883789062
Epoch 0, Loss: 1.8346844911575317
Epoch 0, Loss: 1.873063087463379
Epoch 0, Loss: 1.4702646732330322
Epoch 0, Loss: 2.061253309249878
Epoch 0, Loss: 1.4586683511734009
Epoch 0, Loss: 1.8000844717025757
Epoch 0, Loss: 1.7328345775604248
Epoch 0, Loss: 1.4685415029525757
Epoch 0, Loss: 1.7874466180801392
Epoch 0, Loss: 1.509000539779663
Epoch 0, Loss: 1.2459819316864014
Epoch 0, Loss: 2.0287280082702637
Epoch 0, Loss: 1.7086573839187622
Epoch 0, Loss: 1.453908085823059
Epoch 0, Loss: 1.845824122428894
Epoch 0, Loss: 1.9913307428359985
Epoch 0, Loss: 1.2999112606048584
Epoch 0, Loss: 0.7901453971862793
Epoch 0, Loss: 1.4400233030319214
Epoch 0, Loss: 1.1443183422088623
Epoch 0, Loss: 2.0439651012420654
Epoch 0, Loss: 1.2494399547576904
Epoch 0, Loss: 1.5490834712982178
Epoch 0, Loss: 1.898698329925537
Epoch 0, Loss: 1.5448685884475708
Epoch 0, Loss: 1.5327409505844116
Epoch 0, Loss: 1.751408576965332
Epoch 0, Loss: 1.6295788288116455
Epoch 0, Loss: 1.4710066318511963
Epoch 0, Loss: 1.2895501852035522
Epoch 0, Loss: 1.821457862854004
Epoch 0, Loss: 1.575797438621521
Epoch 0, Loss: 1.5490092039108276
Epoch 0, Loss: 1.5583754777908325
Epoch 0, Loss: 0.8121675252914429
Epoch 0, Loss: 1.703060507774353
Epoch 0, Loss: 1.4354273080825806
Epoch 0, Loss: 1.747352123260498
Epoch 0, Loss: 1.9344360828399658
Epoch 0, Loss: 1.0035226345062256
Epoch 0, Loss: 1.5372577905654907
Epoch 0, Loss: 1.3280359506607056
Epoch 0, Loss: 1.4277904033660889
Epoch 0, Loss: 1.403228998184204
Epoch 0, Loss: 1.744037389755249
Epoch 0, Loss: 1.729962706565857
Epoch 0, Loss: 1.5978244543075562
Epoch 0, Loss: 1.6157605648040771
Epoch 0, Loss: 1.3406360149383545
Epoch 0, Loss: 1.7802139520645142
Epoch 0, Loss: 2.0496020317077637
Epoch 0, Loss: 1.4290419816970825
Epoch 0, Loss: 1.6731961965560913
Epoch 0, Loss: 1.6570309400558472
Epoch 0, Loss: 1.6335417032241821
Epoch 0, Loss: 1.6213852167129517
Epoch 0, Loss: 1.5448408126831055
Epoch 0, Loss: 1.8224196434020996
Epoch 0, Loss: 1.8764948844909668
Epoch 0, Loss: 1.4222365617752075
Epoch 0, Loss: 1.6495959758758545
Epoch 0, Loss: 1.1827515363693237
Epoch 0, Loss: 1.5646430253982544
Epoch 0, Loss: 1.7211825847625732
Epoch 0, Loss: 1.3639204502105713
Epoch 0, Loss: 1.6408785581588745
Epoch 0, Loss: 1.631645679473877
Epoch 0, Loss: 1.4033708572387695
Epoch 0, Loss: 1.738945722579956
Epoch 0, Loss: 1.0725054740905762
Epoch 0, Loss: 1.2960119247436523
Epoch 0, Loss: 1.8426307439804077
Epoch 0, Loss: 1.5170222520828247
Epoch 0, Loss: 1.76369047164917
Epoch 0, Loss: 1.6785534620285034
Epoch 0, Loss: 1.252620816230774
Epoch 0, Loss: 1.8445956707000732
Epoch 0, Loss: 1.4173007011413574
Epoch 0, Loss: 1.576145887374878
Epoch 0, Loss: 1.2854260206222534
Epoch 0, Loss: 1.8064711093902588
Epoch 0, Loss: 2.0508694648742676
Epoch 0, Loss: 1.6652288436889648
Epoch 0, Loss: 1.7412526607513428
Epoch 0, Loss: 1.286103367805481
Epoch 0, Loss: 1.7996431589126587
Epoch 0, Loss: 2.0765960216522217
Epoch 0, Loss: 1.649286150932312
Epoch 0, Loss: 1.8133682012557983
Epoch 0, Loss: 1.9528999328613281
Epoch 0, Loss: 1.3522834777832031
Epoch 0, Loss: 1.6943379640579224
Epoch 0, Loss: 1.7186576128005981
Epoch 0, Loss: 1.4697880744934082
Epoch 0, Loss: 1.7397260665893555
Epoch 0, Loss: 1.7186387777328491
Epoch 0, Loss: 1.5196397304534912
Epoch 0, Loss: 1.6518501043319702
Epoch 0, Loss: 1.94579017162323
Epoch 0, Loss: 1.6828621625900269
Epoch 0, Loss: 1.5545732975006104
Epoch 0, Loss: 1.6251225471496582
Epoch 0, Loss: 1.9056953191757202
